UniProt_ID,mean_pLDDT,alpha_helix_content,beta_sheet_content,coil_content,hbond_density
D2TKD8,89.31479539641944,0.7653061224489796,0.0,0.2346938775510204,0.3781092916391953
D2TKF0,87.34401630988788,0.4152542372881356,0.288135593220339,0.2966101694915254,0.3282400960750242
D2TRY0,87.79652173913043,0.4545454545454545,0.2323232323232323,0.3131313131313131,0.3269643698389593
D2TT38,92.49426894343652,0.536697247706422,0.1238532110091743,0.3394495412844037,0.295181543146858
D2TKE9,77.14767427122942,0.6532663316582915,0.0,0.3467336683417085,0.4087728210999224
D2TRX7,74.03666811279827,0.3010752688172043,0.2473118279569892,0.4516129032258064,0.3748673793011363
D2TPB6,90.67629451038574,0.8313609467455622,0.0,0.1686390532544378,0.2907281195236065
D2TM85,86.79220349967595,0.59375,0.125,0.28125,0.3265812349128642
D2TPB9,64.16975000000001,0.0939226519337016,0.2900552486187845,0.6160220994475138,0.5041358698574654
D2TKT1,74.60777406417112,0.35656836461126,0.2198391420911528,0.4235924932975871,0.3463909399802345
D2TPU4,89.40580082987552,0.2662337662337662,0.3051948051948052,0.4285714285714285,0.342668264256414
D2TKG8,79.8435784797631,0.8274509803921568,0.0,0.1725490196078431,0.3130549743459508
D2TKE4,76.65283173247956,0.6894586894586895,0.0,0.3105413105413105,0.3468940958164154
D2TTX7,89.16842045083307,0.4153645833333333,0.1145833333333333,0.4700520833333333,0.2524138652551149
I0EK29,86.70866869918697,0.2550607287449393,0.3805668016194332,0.3643724696356275,0.315485499187678
D2TIR6,84.8926083414793,0.0721784776902887,0.5590551181102362,0.368766404199475,0.2959091734179483
E3ZN22,95.60663377192982,0.4453781512605042,0.2184873949579832,0.3361344537815126,0.2679420603267377
D2TKF5,89.11168706293707,0.3862068965517241,0.2459770114942528,0.367816091954023,0.261045289746684
D2TKF6,80.10862544904519,0.6451127819548872,0.1082706766917293,0.2466165413533834,0.2945512653098856
D2TPV2,92.36236810789369,0.0800627943485086,0.3076923076923077,0.6122448979591837,0.3825687616139811
E3ZRP7,93.58425857083849,0.4866666666666667,0.1466666666666666,0.3666666666666666,0.2788815566815419
I0EHY4,73.74656311637081,0.4090909090909091,0.1363636363636363,0.4545454545454545,0.4214033467732079
I0EK01,78.40358733880421,0.6146788990825688,0.0,0.3853211009174312,0.542720080250927
E3ZRM1,92.7260010188487,0.3333333333333333,0.2738095238095238,0.3928571428571428,0.2597357638346617
I0EG05,97.512710230316,0.329004329004329,0.2164502164502164,0.4545454545454545,0.3308325125925018
I0EHX7,78.07083916083917,0.4011299435028249,0.1807909604519774,0.4180790960451977,0.4693721799910501
I0EJV2,91.71138032305431,0.9318181818181818,0.0,0.0681818181818181,0.4177049974612136
E3ZRE0,84.79766400555363,0.5941176470588235,0.138235294117647,0.2676470588235294,0.3403185798434145
D2TQZ7,57.42790441581324,0.4962756052141527,0.1322160148975791,0.3715083798882682,0.3617639483672714
E3ZQB3,86.53766367137355,0.5729166666666666,0.1666666666666666,0.2604166666666667,0.3185695739344119
E3ZNQ6,93.1304792147806,0.3807339449541284,0.2981651376146789,0.3211009174311927,0.2647559008791997
E3ZL53,90.42580209895053,0.3388429752066115,0.3305785123966942,0.3305785123966942,0.2859024253967787
I0EHS3,89.2914536585366,0.8174603174603174,0.0,0.1825396825396825,0.3556158804928501
I0EHL0,85.63933537832311,0.7551867219917012,0.0,0.2448132780082987,0.3772838853384071
I9YPM9,78.96106682297774,0.6422018348623854,0.0,0.3577981651376147,0.5337709534295244
Q0T3N8,94.7349138804458,0.4409448818897638,0.1732283464566929,0.3858267716535433,0.2810362216977681
Q0T732,90.9407357859532,0.3615384615384615,0.2769230769230769,0.3615384615384615,0.2736788263715687
Q0T5V5,87.15984599589322,0.246031746031746,0.3888888888888889,0.365079365079365,0.3137685824359408
I9YPV6,93.21390065741416,0.1796407185628742,0.3413173652694611,0.4790419161676646,0.3462522617943702
Q0T542,91.2461238337574,0.447098976109215,0.1433447098976109,0.409556313993174,0.2795772509094923
J0S1U2,89.78091707317073,0.8253968253968254,0.0,0.1746031746031746,0.3525126433622447
Q0T3I7,83.58685855263157,0.5103448275862069,0.2,0.2896551724137931,0.4083788754810489
Q0T3F5,80.46096619460941,0.5057034220532319,0.05893536121673,0.435361216730038,0.288870752901141
Q0T3M9,84.85452617627568,0.4804469273743016,0.0670391061452514,0.4525139664804469,0.3535337343276883
Q0T309,80.54924834361435,0.5239923224568138,0.0595009596928982,0.4165067178502879,0.2904835146666719
Q6HB09,88.57718612334801,0.3982683982683982,0.1645021645021645,0.4372294372294372,0.2897655847887964
Q0T543,84.74337440758295,0.3533834586466165,0.2857142857142857,0.3609022556390977,0.284812494681971
Q0T7U2,89.17436965811964,0.8333333333333334,0.0,0.1666666666666666,0.3433685803274931
