UniProt_ID,mean_pLDDT,alpha_helix_content,beta_sheet_content,coil_content,hbond_density
A0A081HJP9,95.06472278225807,,,,
A0A0A7HF73,93.82649448345035,0.37916666666666665,0.3416666666666667,0.2791666666666667,0.30177568466760923
A0A0A7HF79,93.81528360261257,0.29069767441860467,0.29941860465116277,0.40988372093023256,0.33053229331227624
A0A0A7HFE1,89.90607299983705,0.5367156208277704,0.14018691588785046,0.32309746328437916,0.24990183485519732
A0A0A7HFE6,93.22935249526215,0.5866666666666667,0.096,0.31733333333333336,0.3121867763430263
A0A0A7HGA1,95.01825922818793,0.2640845070422535,0.29225352112676056,0.44366197183098594,0.31592851054855353
A0A0A7HIF0,94.02777713625865,0.31627906976744186,0.3023255813953488,0.3813953488372093,0.3543679844005921
A0A0A7HIX1,96.82216,0.7107438016528925,0.01652892561983471,0.2727272727272727,0.3410031773039466
A0A0A7HIX6,92.68163547365388,0.5798525798525799,0.10565110565110565,0.3144963144963145,0.3231595395044814
A0A0H2US87,86.49139979602242,,,,
A0A0H2USC0,82.43037285108284,,,,
A0A0H2USG1,80.70908692796147,,,,
A0A0H2USP8,90.4474252013809,,,,
A0A0H2UZX2,90.79520033388982,,,,
A0A0Q3NN41,92.87317189994678,,,,
A0A0R6L508,93.42107961256792,0.5178907721280602,0.12617702448210924,0.3559322033898305,0.279309930458808
A0A0T7AQA7,96.17374677835052,0.4456824512534819,0.20334261838440112,0.35097493036211697,0.2666221672313439
A0A0U3AP28,93.36830084589921,,,,
A0A2K4Z9G8,94.43365269461077,0.8108108108108109,0.0,0.1891891891891892,0.5194316365495875
A0A2K4Z9J5,91.41824786324788,0.8666666666666667,0.0,0.13333333333333333,0.628215924312502
A0A2K4Z9K4,91.81112068965517,0.8275862068965517,0.0,0.1724137931034483,0.6421675303734854
A0A2S4MYF8,93.90872013651877,0.05945945945945946,0.5513513513513514,0.3891891891891892,0.3062888085904306
A0A2S4N3N0,79.15990877993158,0.14619883040935672,0.45321637426900585,0.40058479532163743,0.39529686192776264
A0A384KG77,97.96023180592992,0.2510460251046025,0.26359832635983266,0.48535564853556484,0.2736610134240504
A0A3T2V133,92.44302116402116,0.5545023696682464,0.12796208530805686,0.3175355450236967,0.3260428398471397
A0A4C3GMC1,92.9895381654907,0.29015544041450775,0.3316062176165803,0.37823834196891193,0.40198480280868015
A0A649V088,92.93743813015581,,,,
A1XPK1,96.22271889400922,0.41830065359477125,0.17320261437908496,0.4084967320261438,0.2613646127645663
A2PU44,88.64610092687951,0.16262975778546712,0.3806228373702422,0.45674740484429066,0.29762225761985417
A2TJI4,86.78165540540539,0.13392857142857142,0.375,0.49107142857142855,0.48805121362569076
A3KEZ1,94.62119975262831,0.3439024390243902,0.2731707317073171,0.3829268292682927,0.26051685495965404
A5HBL2,93.01525865144488,0.39825581395348836,0.19476744186046513,0.4069767441860465,0.2666606588027102
A5JJ15,86.2015100671141,0.11688311688311688,0.35064935064935066,0.5324675324675324,0.36774020326218093
A6M9B7,92.0217454798331,0.4447592067988669,0.18696883852691218,0.36827195467422097,0.2741207851716022
A7KGA5,97.89933308993551,0.14788732394366197,0.4164989939637827,0.43561368209255535,0.23592369486639145
A8C927,96.00543132803632,0.413953488372093,0.2744186046511628,0.3116279069767442,0.29085410648060356
A8E1U5,93.27325187969925,0.19473684210526315,0.46842105263157896,0.3368421052631579,0.3409514579818877
A8KRL3,96.90205782312924,0.7880184331797235,0.0,0.2119815668202765,0.29148116707284066
A9JQL9,97.08169281585467,0.7317073170731707,0.0,0.2682926829268293,0.27693211348907415
B1VC86,74.76744966442953,0.6611570247933884,0.0,0.33884297520661155,0.6009484498533862
B3EWN9,98.14844169246646,0.192,0.344,0.464,0.3383028268933578
B3EWP0,89.79669278996865,0.20253164556962025,0.3924050632911392,0.4050632911392405,0.4873979742378489
B3EWP1,93.07287090558768,0.44802867383512546,0.1971326164874552,0.3548387096774194,0.299955002259897
B4XMC6,96.50994984326019,0.33756345177664976,0.25888324873096447,0.4035532994923858,0.2837104674478612
B5L3F2,92.41482859941233,0.40711462450592883,0.2608695652173913,0.33201581027667987,0.31393432057177056
B5T072,94.39215095562037,0.46335078534031415,0.17015706806282724,0.36649214659685864,0.278441395679251
B6D1N4,97.94204268292683,0.3915343915343915,0.2698412698412698,0.3386243386243386,0.2546782680023012
B8QSK0,92.41345713293997,0.44192634560906513,0.18696883852691218,0.37110481586402266,0.27307685849793195
C0H3P8,85.58083333333333,0.8407079646017699,0.0,0.1592920353982301,0.42378739671686294
C0H3P9,86.55732943469786,0.4126984126984127,0.23809523809523808,0.3492063492063492,0.461383603464478
C0H3Q1,76.80931477516059,0.6724137931034483,0.0,0.3275862068965517,0.6936849184160102
C0H3Q2,90.84259803921569,0.06,0.26,0.68,0.5501843923308258
C0H3Q3,92.95778401122018,0.2619047619047619,0.35714285714285715,0.38095238095238093,0.4145555391219582
C0H3Q4,83.26160228898426,0.6823529411764706,0.0,0.3176470588235294,0.5338240821352057
C0H3Q6,90.36875675675677,0.21212121212121213,0.3181818181818182,0.4696969696969697,0.4775808430112247
C0H3Q7,73.32290625,0.5348837209302325,0.0,0.46511627906976744,0.7175411098257809
C0H3Q8,94.68116621983913,0.5652173913043478,0.15217391304347827,0.2826086956521739,0.40079110702435095
C0H3Q9,95.26641909814322,0.8,0.0,0.2,0.5139572285425714
C0H3R0,60.233053221288515,0.2916666666666667,0.0,0.7083333333333334,0.767934409407156
C0H3R1,87.44435364041605,0.6753246753246753,0.0,0.3246753246753247,0.5805071574320768
C0H3R3,76.80069902912622,0.22950819672131148,0.3770491803278688,0.39344262295081966,0.5204784180249359
C0H3R4,81.72661169415292,0.759493670886076,0.0,0.24050632911392406,0.5903279170143699
C0H3R5,64.43788687299893,0.6339285714285714,0.0,0.36607142857142855,0.7005238888614981
